GO_ID	ClusterID	ClusterName
GO:0000019	0	Regulation of Biological Processes
GO:0000027	5	Cellular Organization, Assembly & Stress Response
GO:0000028	5	Cellular Organization, Assembly & Stress Response
GO:0000032	1	Biosynthesis & Macromolecule Synthesis
GO:0000045	5	Cellular Organization, Assembly & Stress Response
GO:0000054	2	Protein Transport & Localization
GO:0000055	2	Protein Transport & Localization
GO:0000056	2	Protein Transport & Localization
GO:0000070	5	Cellular Organization, Assembly & Stress Response
GO:0000077	0	Regulation of Biological Processes
GO:0000079	0	Regulation of Biological Processes
GO:0000082	5	Cellular Organization, Assembly & Stress Response
GO:0000086	5	Cellular Organization, Assembly & Stress Response
GO:0000105	1	Biosynthesis & Macromolecule Synthesis
GO:0000122	0	Regulation of Biological Processes
GO:0000154	4	Protein & tRNA Post-translational Modification
GO:0000162	1	Biosynthesis & Macromolecule Synthesis
GO:0000165	0	Regulation of Biological Processes
GO:0000184	6	RNA Processing & DNA Repair
GO:0000209	4	Protein & tRNA Post-translational Modification
GO:0000212	5	Cellular Organization, Assembly & Stress Response
GO:0000226	5	Cellular Organization, Assembly & Stress Response
GO:0000244	5	Cellular Organization, Assembly & Stress Response
GO:0000245	5	Cellular Organization, Assembly & Stress Response
GO:0000256	3	Small Molecule & Cofactor Metabolism
GO:0000266	5	Cellular Organization, Assembly & Stress Response
GO:0000278	5	Cellular Organization, Assembly & Stress Response
GO:0000280	5	Cellular Organization, Assembly & Stress Response
GO:0000281	5	Cellular Organization, Assembly & Stress Response
GO:0000288	6	RNA Processing & DNA Repair
GO:0000289	6	RNA Processing & DNA Repair
GO:0000290	6	RNA Processing & DNA Repair
GO:0000302	5	Cellular Organization, Assembly & Stress Response
GO:0000304	5	Cellular Organization, Assembly & Stress Response
GO:0000338	4	Protein & tRNA Post-translational Modification
GO:0000349	5	Cellular Organization, Assembly & Stress Response
GO:0000350	5	Cellular Organization, Assembly & Stress Response
GO:0000354	5	Cellular Organization, Assembly & Stress Response
GO:0000375	6	RNA Processing & DNA Repair
GO:0000379	6	RNA Processing & DNA Repair
GO:0000380	6	RNA Processing & DNA Repair
GO:0000381	0	Regulation of Biological Processes
GO:0000387	5	Cellular Organization, Assembly & Stress Response
GO:0000389	5	Cellular Organization, Assembly & Stress Response
GO:0000390	5	Cellular Organization, Assembly & Stress Response
GO:0000395	5	Cellular Organization, Assembly & Stress Response
GO:0000398	6	RNA Processing & DNA Repair
GO:0000413	4	Protein & tRNA Post-translational Modification
GO:0000422	3	Small Molecule & Cofactor Metabolism
GO:0000447	6	RNA Processing & DNA Repair
GO:0000448	6	RNA Processing & DNA Repair
GO:0000454	4	Protein & tRNA Post-translational Modification
GO:0000455	4	Protein & tRNA Post-translational Modification
GO:0000460	6	RNA Processing & DNA Repair
GO:0000461	6	RNA Processing & DNA Repair
GO:0000462	6	RNA Processing & DNA Repair
GO:0000463	6	RNA Processing & DNA Repair
GO:0000466	6	RNA Processing & DNA Repair
GO:0000467	6	RNA Processing & DNA Repair
GO:0000470	6	RNA Processing & DNA Repair
GO:0000472	6	RNA Processing & DNA Repair
GO:0000479	6	RNA Processing & DNA Repair
GO:0000480	6	RNA Processing & DNA Repair
GO:0000481	6	RNA Processing & DNA Repair
GO:0000492	5	Cellular Organization, Assembly & Stress Response
GO:0000494	6	RNA Processing & DNA Repair
GO:0000495	6	RNA Processing & DNA Repair
GO:0000706	6	RNA Processing & DNA Repair
GO:0000710	6	RNA Processing & DNA Repair
GO:0000712	5	Cellular Organization, Assembly & Stress Response
GO:0000715	5	Cellular Organization, Assembly & Stress Response
GO:0000717	5	Cellular Organization, Assembly & Stress Response
GO:0000719	6	RNA Processing & DNA Repair
GO:0000722	6	RNA Processing & DNA Repair
GO:0000723	6	RNA Processing & DNA Repair
GO:0000724	6	RNA Processing & DNA Repair
GO:0000725	6	RNA Processing & DNA Repair
GO:0000727	6	RNA Processing & DNA Repair
GO:0000730	5	Cellular Organization, Assembly & Stress Response
GO:0000741	5	Cellular Organization, Assembly & Stress Response
GO:0000819	5	Cellular Organization, Assembly & Stress Response
GO:0000902	5	Cellular Organization, Assembly & Stress Response
GO:0000910	5	Cellular Organization, Assembly & Stress Response
GO:0000917	5	Cellular Organization, Assembly & Stress Response
GO:0000956	6	RNA Processing & DNA Repair
GO:0000965	1	Biosynthesis & Macromolecule Synthesis
GO:0000973	5	Cellular Organization, Assembly & Stress Response
GO:0001113	5	Cellular Organization, Assembly & Stress Response
GO:0001174	1	Biosynthesis & Macromolecule Synthesis
GO:0001193	1	Biosynthesis & Macromolecule Synthesis
GO:0001503	5	Cellular Organization, Assembly & Stress Response
GO:0001510	4	Protein & tRNA Post-translational Modification
GO:0001514	1	Biosynthesis & Macromolecule Synthesis
GO:0001522	4	Protein & tRNA Post-translational Modification
GO:0001539	5	Cellular Organization, Assembly & Stress Response
GO:0001666	5	Cellular Organization, Assembly & Stress Response
GO:0001672	0	Regulation of Biological Processes
GO:0001678	5	Cellular Organization, Assembly & Stress Response
GO:0001680	6	RNA Processing & DNA Repair
GO:0001682	6	RNA Processing & DNA Repair
GO:0001717	4	Protein & tRNA Post-translational Modification
GO:0001731	5	Cellular Organization, Assembly & Stress Response
GO:0001732	5	Cellular Organization, Assembly & Stress Response
GO:0001819	0	Regulation of Biological Processes
GO:0001881	4	Protein & tRNA Post-translational Modification
GO:0001932	0	Regulation of Biological Processes
GO:0001934	0	Regulation of Biological Processes
GO:0002028	0	Regulation of Biological Processes
GO:0002098	4	Protein & tRNA Post-translational Modification
GO:0002099	4	Protein & tRNA Post-translational Modification
GO:0002100	4	Protein & tRNA Post-translational Modification
GO:0002128	4	Protein & tRNA Post-translational Modification
GO:0002143	4	Protein & tRNA Post-translational Modification
GO:0002181	1	Biosynthesis & Macromolecule Synthesis
GO:0002182	1	Biosynthesis & Macromolecule Synthesis
GO:0002183	3	Small Molecule & Cofactor Metabolism
GO:0002184	5	Cellular Organization, Assembly & Stress Response
GO:0002188	3	Small Molecule & Cofactor Metabolism
GO:0002191	3	Small Molecule & Cofactor Metabolism
GO:0002224	0	Regulation of Biological Processes
GO:0002253	0	Regulation of Biological Processes
GO:0002312	5	Cellular Organization, Assembly & Stress Response
GO:0002377	1	Biosynthesis & Macromolecule Synthesis
GO:0002720	0	Regulation of Biological Processes
GO:0002926	4	Protein & tRNA Post-translational Modification
GO:0002939	4	Protein & tRNA Post-translational Modification
GO:0002940	4	Protein & tRNA Post-translational Modification
GO:0002943	4	Protein & tRNA Post-translational Modification
GO:0002949	4	Protein & tRNA Post-translational Modification
GO:0003333	2	Protein Transport & Localization
GO:0003341	5	Cellular Organization, Assembly & Stress Response
GO:0003352	0	Regulation of Biological Processes
GO:0003400	0	Regulation of Biological Processes
GO:0005975	3	Small Molecule & Cofactor Metabolism
GO:0005992	3	Small Molecule & Cofactor Metabolism
GO:0006002	3	Small Molecule & Cofactor Metabolism
GO:0006004	3	Small Molecule & Cofactor Metabolism
GO:0006006	3	Small Molecule & Cofactor Metabolism
GO:0006013	3	Small Molecule & Cofactor Metabolism
GO:0006015	7	Nucleotide Metabolism & Biosynthesis
GO:0006020	3	Small Molecule & Cofactor Metabolism
GO:0006021	3	Small Molecule & Cofactor Metabolism
GO:0006032	6	RNA Processing & DNA Repair
GO:0006041	3	Small Molecule & Cofactor Metabolism
GO:0006047	7	Nucleotide Metabolism & Biosynthesis
GO:0006048	7	Nucleotide Metabolism & Biosynthesis
GO:0006071	3	Small Molecule & Cofactor Metabolism
GO:0006072	3	Small Molecule & Cofactor Metabolism
GO:0006085	7	Nucleotide Metabolism & Biosynthesis
GO:0006086	7	Nucleotide Metabolism & Biosynthesis
GO:0006089	1	Biosynthesis & Macromolecule Synthesis
GO:0006090	1	Biosynthesis & Macromolecule Synthesis
GO:0006091	3	Small Molecule & Cofactor Metabolism
GO:0006094	3	Small Molecule & Cofactor Metabolism
GO:0006096	7	Nucleotide Metabolism & Biosynthesis
GO:0006097	1	Biosynthesis & Macromolecule Synthesis
GO:0006098	7	Nucleotide Metabolism & Biosynthesis
GO:0006099	3	Small Molecule & Cofactor Metabolism
GO:0006101	1	Biosynthesis & Macromolecule Synthesis
GO:0006102	1	Biosynthesis & Macromolecule Synthesis
GO:0006103	1	Biosynthesis & Macromolecule Synthesis
GO:0006104	7	Nucleotide Metabolism & Biosynthesis
GO:0006106	1	Biosynthesis & Macromolecule Synthesis
GO:0006116	7	Nucleotide Metabolism & Biosynthesis
GO:0006119	3	Small Molecule & Cofactor Metabolism
GO:0006121	3	Small Molecule & Cofactor Metabolism
GO:0006122	3	Small Molecule & Cofactor Metabolism
GO:0006123	3	Small Molecule & Cofactor Metabolism
GO:0006127	7	Nucleotide Metabolism & Biosynthesis
GO:0006139	3	Small Molecule & Cofactor Metabolism
GO:0006148	7	Nucleotide Metabolism & Biosynthesis
GO:0006152	7	Nucleotide Metabolism & Biosynthesis
GO:0006154	7	Nucleotide Metabolism & Biosynthesis
GO:0006163	7	Nucleotide Metabolism & Biosynthesis
GO:0006164	7	Nucleotide Metabolism & Biosynthesis
GO:0006166	7	Nucleotide Metabolism & Biosynthesis
GO:0006167	7	Nucleotide Metabolism & Biosynthesis
GO:0006168	7	Nucleotide Metabolism & Biosynthesis
GO:0006171	7	Nucleotide Metabolism & Biosynthesis
GO:0006177	7	Nucleotide Metabolism & Biosynthesis
GO:0006178	7	Nucleotide Metabolism & Biosynthesis
GO:0006182	7	Nucleotide Metabolism & Biosynthesis
GO:0006183	7	Nucleotide Metabolism & Biosynthesis
GO:0006188	7	Nucleotide Metabolism & Biosynthesis
GO:0006189	7	Nucleotide Metabolism & Biosynthesis
GO:0006190	7	Nucleotide Metabolism & Biosynthesis
GO:0006196	7	Nucleotide Metabolism & Biosynthesis
GO:0006203	7	Nucleotide Metabolism & Biosynthesis
GO:0006206	3	Small Molecule & Cofactor Metabolism
GO:0006207	7	Nucleotide Metabolism & Biosynthesis
GO:0006221	7	Nucleotide Metabolism & Biosynthesis
GO:0006222	7	Nucleotide Metabolism & Biosynthesis
GO:0006225	7	Nucleotide Metabolism & Biosynthesis
GO:0006226	7	Nucleotide Metabolism & Biosynthesis
GO:0006227	7	Nucleotide Metabolism & Biosynthesis
GO:0006228	7	Nucleotide Metabolism & Biosynthesis
GO:0006231	7	Nucleotide Metabolism & Biosynthesis
GO:0006233	7	Nucleotide Metabolism & Biosynthesis
GO:0006235	7	Nucleotide Metabolism & Biosynthesis
GO:0006241	7	Nucleotide Metabolism & Biosynthesis
GO:0006259	6	RNA Processing & DNA Repair
GO:0006260	6	RNA Processing & DNA Repair
GO:0006261	6	RNA Processing & DNA Repair
GO:0006264	6	RNA Processing & DNA Repair
GO:0006265	6	RNA Processing & DNA Repair
GO:0006266	6	RNA Processing & DNA Repair
GO:0006267	5	Cellular Organization, Assembly & Stress Response
GO:0006268	5	Cellular Organization, Assembly & Stress Response
GO:0006269	1	Biosynthesis & Macromolecule Synthesis
GO:0006270	6	RNA Processing & DNA Repair
GO:0006271	6	RNA Processing & DNA Repair
GO:0006272	6	RNA Processing & DNA Repair
GO:0006273	6	RNA Processing & DNA Repair
GO:0006275	0	Regulation of Biological Processes
GO:0006278	1	Biosynthesis & Macromolecule Synthesis
GO:0006281	6	RNA Processing & DNA Repair
GO:0006282	0	Regulation of Biological Processes
GO:0006283	6	RNA Processing & DNA Repair
GO:0006284	6	RNA Processing & DNA Repair
GO:0006285	6	RNA Processing & DNA Repair
GO:0006287	6	RNA Processing & DNA Repair
GO:0006289	6	RNA Processing & DNA Repair
GO:0006290	6	RNA Processing & DNA Repair
GO:0006294	5	Cellular Organization, Assembly & Stress Response
GO:0006297	6	RNA Processing & DNA Repair
GO:0006298	6	RNA Processing & DNA Repair
GO:0006301	6	RNA Processing & DNA Repair
GO:0006302	6	RNA Processing & DNA Repair
GO:0006303	6	RNA Processing & DNA Repair
GO:0006304	6	RNA Processing & DNA Repair
GO:0006308	6	RNA Processing & DNA Repair
GO:0006310	6	RNA Processing & DNA Repair
GO:0006312	6	RNA Processing & DNA Repair
GO:0006323	5	Cellular Organization, Assembly & Stress Response
GO:0006325	5	Cellular Organization, Assembly & Stress Response
GO:0006333	5	Cellular Organization, Assembly & Stress Response
GO:0006334	5	Cellular Organization, Assembly & Stress Response
GO:0006335	5	Cellular Organization, Assembly & Stress Response
GO:0006336	5	Cellular Organization, Assembly & Stress Response
GO:0006337	5	Cellular Organization, Assembly & Stress Response
GO:0006338	5	Cellular Organization, Assembly & Stress Response
GO:0006342	0	Regulation of Biological Processes
GO:0006348	0	Regulation of Biological Processes
GO:0006351	1	Biosynthesis & Macromolecule Synthesis
GO:0006352	1	Biosynthesis & Macromolecule Synthesis
GO:0006354	1	Biosynthesis & Macromolecule Synthesis
GO:0006355	0	Regulation of Biological Processes
GO:0006357	0	Regulation of Biological Processes
GO:0006359	0	Regulation of Biological Processes
GO:0006360	1	Biosynthesis & Macromolecule Synthesis
GO:0006361	1	Biosynthesis & Macromolecule Synthesis
GO:0006363	1	Biosynthesis & Macromolecule Synthesis
GO:0006364	6	RNA Processing & DNA Repair
GO:0006366	1	Biosynthesis & Macromolecule Synthesis
GO:0006367	1	Biosynthesis & Macromolecule Synthesis
GO:0006368	1	Biosynthesis & Macromolecule Synthesis
GO:0006370	6	RNA Processing & DNA Repair
GO:0006376	5	Cellular Organization, Assembly & Stress Response
GO:0006383	1	Biosynthesis & Macromolecule Synthesis
GO:0006384	1	Biosynthesis & Macromolecule Synthesis
GO:0006386	1	Biosynthesis & Macromolecule Synthesis
GO:0006388	6	RNA Processing & DNA Repair
GO:0006390	1	Biosynthesis & Macromolecule Synthesis
GO:0006396	6	RNA Processing & DNA Repair
GO:0006397	6	RNA Processing & DNA Repair
GO:0006398	6	RNA Processing & DNA Repair
GO:0006399	6	RNA Processing & DNA Repair
GO:0006400	4	Protein & tRNA Post-translational Modification
GO:0006401	6	RNA Processing & DNA Repair
GO:0006402	6	RNA Processing & DNA Repair
GO:0006405	2	Protein Transport & Localization
GO:0006406	2	Protein Transport & Localization
GO:0006409	2	Protein Transport & Localization
