GO_ID	ClusterID	ClusterName
GO:0000019	2	Regulation of Biological Processes
GO:0000027	5	Macromolecular Complex Assembly & Organization
GO:0000028	5	Macromolecular Complex Assembly & Organization
GO:0000032	7	Nucleotide Metabolism & Biosynthesis
GO:0000045	5	Macromolecular Complex Assembly & Organization
GO:0000054	3	Protein Transport & Localization
GO:0000055	3	Protein Transport & Localization
GO:0000056	3	Protein Transport & Localization
GO:0000070	5	Macromolecular Complex Assembly & Organization
GO:0000077	2	Regulation of Biological Processes
GO:0000079	2	Regulation of Biological Processes
GO:0000082	1	Cellular & Host Stress Response
GO:0000086	1	Cellular & Host Stress Response
GO:0000105	4	Amino Acid & Fatty Acid Metabolism
GO:0000122	2	Regulation of Biological Processes
GO:0000154	0	RNA Processing & Modification
GO:0000162	4	Amino Acid & Fatty Acid Metabolism
GO:0000165	2	Regulation of Biological Processes
GO:0000184	0	RNA Processing & Modification
GO:0000209	0	RNA Processing & Modification
GO:0000212	5	Macromolecular Complex Assembly & Organization
GO:0000226	5	Macromolecular Complex Assembly & Organization
GO:0000244	5	Macromolecular Complex Assembly & Organization
GO:0000245	5	Macromolecular Complex Assembly & Organization
GO:0000256	4	Amino Acid & Fatty Acid Metabolism
GO:0000266	5	Macromolecular Complex Assembly & Organization
GO:0000278	1	Cellular & Host Stress Response
GO:0000280	5	Macromolecular Complex Assembly & Organization
GO:0000281	1	Cellular & Host Stress Response
GO:0000288	2	Regulation of Biological Processes
GO:0000289	0	RNA Processing & Modification
GO:0000290	0	RNA Processing & Modification
GO:0000302	1	Cellular & Host Stress Response
GO:0000304	1	Cellular & Host Stress Response
GO:0000338	0	RNA Processing & Modification
GO:0000349	5	Macromolecular Complex Assembly & Organization
GO:0000350	5	Macromolecular Complex Assembly & Organization
GO:0000354	5	Macromolecular Complex Assembly & Organization
GO:0000375	0	RNA Processing & Modification
GO:0000379	0	RNA Processing & Modification
GO:0000380	0	RNA Processing & Modification
GO:0000381	2	Regulation of Biological Processes
GO:0000387	5	Macromolecular Complex Assembly & Organization
GO:0000389	5	Macromolecular Complex Assembly & Organization
GO:0000390	5	Macromolecular Complex Assembly & Organization
GO:0000395	5	Macromolecular Complex Assembly & Organization
GO:0000398	0	RNA Processing & Modification
GO:0000413	0	RNA Processing & Modification
GO:0000422	4	Amino Acid & Fatty Acid Metabolism
GO:0000447	0	RNA Processing & Modification
GO:0000448	0	RNA Processing & Modification
GO:0000454	0	RNA Processing & Modification
GO:0000455	0	RNA Processing & Modification
GO:0000460	0	RNA Processing & Modification
GO:0000461	0	RNA Processing & Modification
GO:0000462	0	RNA Processing & Modification
GO:0000463	0	RNA Processing & Modification
GO:0000466	0	RNA Processing & Modification
GO:0000467	0	RNA Processing & Modification
GO:0000470	0	RNA Processing & Modification
GO:0000472	0	RNA Processing & Modification
GO:0000479	0	RNA Processing & Modification
GO:0000480	0	RNA Processing & Modification
GO:0000481	0	RNA Processing & Modification
GO:0000492	5	Macromolecular Complex Assembly & Organization
GO:0000494	0	RNA Processing & Modification
GO:0000495	0	RNA Processing & Modification
GO:0000706	6	DNA Damage Response & Repair
GO:0000710	6	DNA Damage Response & Repair
GO:0000712	1	Cellular & Host Stress Response
GO:0000715	5	Macromolecular Complex Assembly & Organization
GO:0000717	5	Macromolecular Complex Assembly & Organization
GO:0000719	6	DNA Damage Response & Repair
GO:0000722	6	DNA Damage Response & Repair
GO:0000723	6	DNA Damage Response & Repair
GO:0000724	6	DNA Damage Response & Repair
GO:0000725	6	DNA Damage Response & Repair
GO:0000727	6	DNA Damage Response & Repair
GO:0000730	5	Macromolecular Complex Assembly & Organization
GO:0000741	5	Macromolecular Complex Assembly & Organization
GO:0000819	5	Macromolecular Complex Assembly & Organization
GO:0000902	1	Cellular & Host Stress Response
GO:0000910	1	Cellular & Host Stress Response
GO:0000917	5	Macromolecular Complex Assembly & Organization
GO:0000956	0	RNA Processing & Modification
GO:0000965	0	RNA Processing & Modification
GO:0000973	5	Macromolecular Complex Assembly & Organization
GO:0001113	5	Macromolecular Complex Assembly & Organization
GO:0001174	7	Nucleotide Metabolism & Biosynthesis
GO:0001193	7	Nucleotide Metabolism & Biosynthesis
GO:0001503	1	Cellular & Host Stress Response
GO:0001510	0	RNA Processing & Modification
GO:0001514	4	Amino Acid & Fatty Acid Metabolism
GO:0001522	0	RNA Processing & Modification
GO:0001539	1	Cellular & Host Stress Response
GO:0001666	1	Cellular & Host Stress Response
GO:0001672	2	Regulation of Biological Processes
GO:0001678	1	Cellular & Host Stress Response
GO:0001680	0	RNA Processing & Modification
GO:0001682	0	RNA Processing & Modification
GO:0001717	0	RNA Processing & Modification
GO:0001731	5	Macromolecular Complex Assembly & Organization
GO:0001732	5	Macromolecular Complex Assembly & Organization
GO:0001819	2	Regulation of Biological Processes
GO:0001881	0	RNA Processing & Modification
GO:0001932	2	Regulation of Biological Processes
GO:0001934	2	Regulation of Biological Processes
GO:0002028	2	Regulation of Biological Processes
GO:0002098	0	RNA Processing & Modification
GO:0002099	0	RNA Processing & Modification
GO:0002100	0	RNA Processing & Modification
GO:0002128	0	RNA Processing & Modification
GO:0002143	0	RNA Processing & Modification
GO:0002181	4	Amino Acid & Fatty Acid Metabolism
GO:0002182	4	Amino Acid & Fatty Acid Metabolism
GO:0002183	4	Amino Acid & Fatty Acid Metabolism
GO:0002184	5	Macromolecular Complex Assembly & Organization
GO:0002188	4	Amino Acid & Fatty Acid Metabolism
GO:0002191	4	Amino Acid & Fatty Acid Metabolism
GO:0002224	2	Regulation of Biological Processes
GO:0002253	2	Regulation of Biological Processes
GO:0002312	1	Cellular & Host Stress Response
GO:0002377	4	Amino Acid & Fatty Acid Metabolism
GO:0002720	2	Regulation of Biological Processes
GO:0002926	0	RNA Processing & Modification
GO:0002939	0	RNA Processing & Modification
GO:0002940	0	RNA Processing & Modification
GO:0002943	0	RNA Processing & Modification
GO:0002949	0	RNA Processing & Modification
GO:0003333	3	Protein Transport & Localization
GO:0003341	1	Cellular & Host Stress Response
GO:0003352	2	Regulation of Biological Processes
GO:0003400	2	Regulation of Biological Processes
GO:0005975	4	Amino Acid & Fatty Acid Metabolism
GO:0005992	4	Amino Acid & Fatty Acid Metabolism
GO:0006002	7	Nucleotide Metabolism & Biosynthesis
GO:0006004	4	Amino Acid & Fatty Acid Metabolism
GO:0006006	4	Amino Acid & Fatty Acid Metabolism
GO:0006013	4	Amino Acid & Fatty Acid Metabolism
GO:0006015	7	Nucleotide Metabolism & Biosynthesis
GO:0006020	4	Amino Acid & Fatty Acid Metabolism
GO:0006021	4	Amino Acid & Fatty Acid Metabolism
GO:0006032	0	RNA Processing & Modification
GO:0006041	4	Amino Acid & Fatty Acid Metabolism
GO:0006047	7	Nucleotide Metabolism & Biosynthesis
GO:0006048	7	Nucleotide Metabolism & Biosynthesis
GO:0006071	4	Amino Acid & Fatty Acid Metabolism
GO:0006072	7	Nucleotide Metabolism & Biosynthesis
GO:0006085	7	Nucleotide Metabolism & Biosynthesis
GO:0006086	7	Nucleotide Metabolism & Biosynthesis
GO:0006089	4	Amino Acid & Fatty Acid Metabolism
GO:0006090	4	Amino Acid & Fatty Acid Metabolism
GO:0006091	4	Amino Acid & Fatty Acid Metabolism
GO:0006094	4	Amino Acid & Fatty Acid Metabolism
GO:0006096	7	Nucleotide Metabolism & Biosynthesis
GO:0006097	4	Amino Acid & Fatty Acid Metabolism
GO:0006098	7	Nucleotide Metabolism & Biosynthesis
GO:0006099	4	Amino Acid & Fatty Acid Metabolism
GO:0006101	4	Amino Acid & Fatty Acid Metabolism
GO:0006102	4	Amino Acid & Fatty Acid Metabolism
GO:0006103	4	Amino Acid & Fatty Acid Metabolism
GO:0006104	7	Nucleotide Metabolism & Biosynthesis
GO:0006106	4	Amino Acid & Fatty Acid Metabolism
GO:0006116	7	Nucleotide Metabolism & Biosynthesis
GO:0006119	4	Amino Acid & Fatty Acid Metabolism
GO:0006121	4	Amino Acid & Fatty Acid Metabolism
GO:0006122	4	Amino Acid & Fatty Acid Metabolism
GO:0006123	4	Amino Acid & Fatty Acid Metabolism
GO:0006127	7	Nucleotide Metabolism & Biosynthesis
GO:0006139	0	RNA Processing & Modification
GO:0006148	7	Nucleotide Metabolism & Biosynthesis
GO:0006152	7	Nucleotide Metabolism & Biosynthesis
GO:0006154	7	Nucleotide Metabolism & Biosynthesis
GO:0006163	7	Nucleotide Metabolism & Biosynthesis
GO:0006164	7	Nucleotide Metabolism & Biosynthesis
GO:0006166	7	Nucleotide Metabolism & Biosynthesis
GO:0006167	7	Nucleotide Metabolism & Biosynthesis
GO:0006168	7	Nucleotide Metabolism & Biosynthesis
GO:0006171	7	Nucleotide Metabolism & Biosynthesis
GO:0006177	7	Nucleotide Metabolism & Biosynthesis
GO:0006178	7	Nucleotide Metabolism & Biosynthesis
GO:0006182	7	Nucleotide Metabolism & Biosynthesis
GO:0006183	7	Nucleotide Metabolism & Biosynthesis
GO:0006188	7	Nucleotide Metabolism & Biosynthesis
GO:0006189	7	Nucleotide Metabolism & Biosynthesis
GO:0006190	7	Nucleotide Metabolism & Biosynthesis
GO:0006196	7	Nucleotide Metabolism & Biosynthesis
GO:0006203	7	Nucleotide Metabolism & Biosynthesis
GO:0006206	7	Nucleotide Metabolism & Biosynthesis
GO:0006207	7	Nucleotide Metabolism & Biosynthesis
GO:0006221	7	Nucleotide Metabolism & Biosynthesis
GO:0006222	7	Nucleotide Metabolism & Biosynthesis
GO:0006225	7	Nucleotide Metabolism & Biosynthesis
GO:0006226	7	Nucleotide Metabolism & Biosynthesis
GO:0006227	7	Nucleotide Metabolism & Biosynthesis
GO:0006228	7	Nucleotide Metabolism & Biosynthesis
GO:0006231	7	Nucleotide Metabolism & Biosynthesis
GO:0006233	7	Nucleotide Metabolism & Biosynthesis
GO:0006235	7	Nucleotide Metabolism & Biosynthesis
GO:0006241	7	Nucleotide Metabolism & Biosynthesis
