GO_ID	ClusterID	ClusterName
GO:0000015	0	Catalytic & Enzymatic Complexes
GO:0000109	2	Gene-Expression Complexes
GO:0000110	2	Gene-Expression Complexes
GO:0000111	2	Gene-Expression Complexes
GO:0000112	2	Gene-Expression Complexes
GO:0000118	2	Gene-Expression Complexes
GO:0000123	0	Catalytic & Enzymatic Complexes
GO:0000124	0	Catalytic & Enzymatic Complexes
GO:0000126	3	Ribosomal, Proteasomal & Vesicle-Coat Complexes
GO:0000127	3	Ribosomal, Proteasomal & Vesicle-Coat Complexes
GO:0000138	1	Membrane & Organelle
GO:0000139	1	Membrane & Organelle
GO:0000151	0	Catalytic & Enzymatic Complexes
GO:0000153	0	Catalytic & Enzymatic Complexes
GO:0000159	0	Catalytic & Enzymatic Complexes
GO:0000164	0	Catalytic & Enzymatic Complexes
GO:0000172	0	Catalytic & Enzymatic Complexes
GO:0000176	2	Gene-Expression Complexes
GO:0000177	0	Catalytic & Enzymatic Complexes
GO:0000178	0	Catalytic & Enzymatic Complexes
GO:0000214	0	Catalytic & Enzymatic Complexes
GO:0000220	3	Ribosomal, Proteasomal & Vesicle-Coat Complexes
GO:0000221	3	Ribosomal, Proteasomal & Vesicle-Coat Complexes
GO:0000228	1	Membrane & Organelle
GO:0000242	1	Membrane & Organelle
GO:0000243	2	Gene-Expression Complexes
GO:0000307	0	Catalytic & Enzymatic Complexes
GO:0000311	3	Ribosomal, Proteasomal & Vesicle-Coat Complexes
GO:0000312	3	Ribosomal, Proteasomal & Vesicle-Coat Complexes
GO:0000314	3	Ribosomal, Proteasomal & Vesicle-Coat Complexes
GO:0000315	3	Ribosomal, Proteasomal & Vesicle-Coat Complexes
GO:0000333	0	Catalytic & Enzymatic Complexes
GO:0000347	2	Gene-Expression Complexes
GO:0000407	1	Membrane & Organelle
GO:0000408	0	Catalytic & Enzymatic Complexes
GO:0000417	3	Ribosomal, Proteasomal & Vesicle-Coat Complexes
GO:0000421	1	Membrane & Organelle
GO:0000428	0	Catalytic & Enzymatic Complexes
GO:0000439	2	Gene-Expression Complexes
GO:0000445	2	Gene-Expression Complexes
GO:0000502	0	Catalytic & Enzymatic Complexes
GO:0000506	0	Catalytic & Enzymatic Complexes
GO:0000775	1	Membrane & Organelle
GO:0000776	1	Membrane & Organelle
GO:0000777	1	Membrane & Organelle
GO:0000778	1	Membrane & Organelle
GO:0000779	1	Membrane & Organelle
GO:0000781	1	Membrane & Organelle
GO:0000785	1	Membrane & Organelle
GO:0000786	3	Ribosomal, Proteasomal & Vesicle-Coat Complexes
GO:0000791	1	Membrane & Organelle
