GO_ID	ClusterID	ClusterName
GO:0000015	2	Nuclear Enzyme Complexes
GO:0000109	1	Gene-Expression Complexes
GO:0000110	1	Gene-Expression Complexes
GO:0000111	1	Gene-Expression Complexes
GO:0000112	1	Gene-Expression Complexes
GO:0000118	2	Nuclear Enzyme Complexes
GO:0000123	2	Nuclear Enzyme Complexes
GO:0000124	2	Nuclear Enzyme Complexes
GO:0000126	1	Gene-Expression Complexes
GO:0000127	1	Gene-Expression Complexes
GO:0000138	0	Membrane & Organelle
GO:0000139	0	Membrane & Organelle
GO:0000151	2	Nuclear Enzyme Complexes
GO:0000153	2	Nuclear Enzyme Complexes
GO:0000159	2	Nuclear Enzyme Complexes
GO:0000164	2	Nuclear Enzyme Complexes
GO:0000172	2	Nuclear Enzyme Complexes
GO:0000176	2	Nuclear Enzyme Complexes
GO:0000177	2	Nuclear Enzyme Complexes
GO:0000178	2	Nuclear Enzyme Complexes
GO:0000214	2	Nuclear Enzyme Complexes
GO:0000220	3	Membrane Transport & Vesicle
GO:0000221	3	Membrane Transport & Vesicle
GO:0000228	0	Membrane & Organelle
GO:0000242	0	Membrane & Organelle
GO:0000243	1	Gene-Expression Complexes
GO:0000307	2	Nuclear Enzyme Complexes
GO:0000311	1	Gene-Expression Complexes
GO:0000312	1	Gene-Expression Complexes
GO:0000314	1	Gene-Expression Complexes
GO:0000315	1	Gene-Expression Complexes
GO:0000333	2	Nuclear Enzyme Complexes
GO:0000347	1	Gene-Expression Complexes
GO:0000407	0	Membrane & Organelle
GO:0000408	2	Nuclear Enzyme Complexes
GO:0000417	1	Gene-Expression Complexes
GO:0000421	0	Membrane & Organelle
GO:0000428	2	Nuclear Enzyme Complexes
GO:0000439	1	Gene-Expression Complexes
GO:0000445	1	Gene-Expression Complexes
GO:0000502	2	Nuclear Enzyme Complexes
GO:0000506	2	Nuclear Enzyme Complexes
GO:0000775	0	Membrane & Organelle
GO:0000776	0	Membrane & Organelle
GO:0000777	0	Membrane & Organelle
GO:0000778	0	Membrane & Organelle
GO:0000779	0	Membrane & Organelle
GO:0000781	0	Membrane & Organelle
GO:0000785	0	Membrane & Organelle
GO:0000786	1	Gene-Expression Complexes
GO:0000791	0	Membrane & Organelle
GO:0000792	0	Membrane & Organelle
GO:0000793	0	Membrane & Organelle
GO:0000794	0	Membrane & Organelle
GO:0000795	0	Membrane & Organelle
GO:0000796	1	Gene-Expression Complexes
GO:0000808	1	Gene-Expression Complexes
GO:0000811	1	Gene-Expression Complexes
GO:0000812	2	Nuclear Enzyme Complexes
GO:0000815	3	Membrane Transport & Vesicle
GO:0000839	2	Nuclear Enzyme Complexes
GO:0000922	0	Membrane & Organelle
GO:0000923	0	Membrane & Organelle
GO:0000930	1	Gene-Expression Complexes
GO:0000931	1	Gene-Expression Complexes
GO:0000932	0	Membrane & Organelle
GO:0000938	1	Gene-Expression Complexes
GO:0000940	1	Gene-Expression Complexes
GO:0000974	1	Gene-Expression Complexes
GO:0001401	3	Membrane Transport & Vesicle
GO:0001405	3	Membrane Transport & Vesicle
GO:0001527	0	Membrane & Organelle
GO:0001533	0	Membrane & Organelle
GO:0001534	1	Gene-Expression Complexes
GO:0002144	2	Nuclear Enzyme Complexes
GO:0002179	2	Nuclear Enzyme Complexes
GO:0002189	2	Nuclear Enzyme Complexes
GO:0005575	1	Gene-Expression Complexes
GO:0005576	0	Membrane & Organelle
GO:0005615	0	Membrane & Organelle
GO:0005622	0	Membrane & Organelle
GO:0005634	0	Membrane & Organelle
GO:0005635	0	Membrane & Organelle
GO:0005637	0	Membrane & Organelle
GO:0005643	1	Gene-Expression Complexes
GO:0005654	0	Membrane & Organelle
GO:0005655	2	Nuclear Enzyme Complexes
GO:0005656	1	Gene-Expression Complexes
GO:0005657	0	Membrane & Organelle
GO:0005658	2	Nuclear Enzyme Complexes
GO:0005662	1	Gene-Expression Complexes
