GO_ID	ClusterID	ClusterName
GO:0000009	4	Kinases & Transferases
GO:0000014	3	Hydrolases, Phosphatases & Nucleic-Acid-Acting Enzymes
GO:0000026	4	Kinases & Transferases
GO:0000030	4	Kinases & Transferases
GO:0000035	2	DNA/RNA Binding & Polymerase Activity
GO:0000036	2	DNA/RNA Binding & Polymerase Activity
GO:0000049	2	DNA/RNA Binding & Polymerase Activity
GO:0000062	2	DNA/RNA Binding & Polymerase Activity
GO:0000095	6	Transporter & Channel Activity
GO:0000104	5	Oxidoreductase, Synthase & Ligase Activity
GO:0000146	0	Transcription Regulator & Modulator Activity
GO:0000149	2	DNA/RNA Binding & Polymerase Activity
GO:0000150	3	Hydrolases, Phosphatases & Nucleic-Acid-Acting Enzymes
GO:0000166	2	DNA/RNA Binding & Polymerase Activity
GO:0000171	3	Hydrolases, Phosphatases & Nucleic-Acid-Acting Enzymes
GO:0000175	3	Hydrolases, Phosphatases & Nucleic-Acid-Acting Enzymes
GO:0000179	4	Kinases & Transferases
GO:0000182	2	DNA/RNA Binding & Polymerase Activity
GO:0000213	3	Hydrolases, Phosphatases & Nucleic-Acid-Acting Enzymes
GO:0000225	3	Hydrolases, Phosphatases & Nucleic-Acid-Acting Enzymes
GO:0000234	4	Kinases & Transferases
GO:0000285	4	Kinases & Transferases
GO:0000287	2	DNA/RNA Binding & Polymerase Activity
GO:0000309	4	Kinases & Transferases
GO:0000339	2	DNA/RNA Binding & Polymerase Activity
GO:0000340	2	DNA/RNA Binding & Polymerase Activity
GO:0000386	3	Hydrolases, Phosphatases & Nucleic-Acid-Acting Enzymes
GO:0000400	2	DNA/RNA Binding & Polymerase Activity
GO:0000406	2	DNA/RNA Binding & Polymerase Activity
GO:0000701	3	Hydrolases, Phosphatases & Nucleic-Acid-Acting Enzymes
GO:0000703	3	Hydrolases, Phosphatases & Nucleic-Acid-Acting Enzymes
GO:0000774	0	Transcription Regulator & Modulator Activity
GO:0000822	2	DNA/RNA Binding & Polymerase Activity
GO:0000823	4	Kinases & Transferases
GO:0000827	4	Kinases & Transferases
GO:0000828	4	Kinases & Transferases
GO:0000829	4	Kinases & Transferases
GO:0000832	4	Kinases & Transferases
GO:0000900	2	DNA/RNA Binding & Polymerase Activity
GO:0000976	2	DNA/RNA Binding & Polymerase Activity
GO:0000977	2	DNA/RNA Binding & Polymerase Activity
GO:0000978	2	DNA/RNA Binding & Polymerase Activity
GO:0000979	2	DNA/RNA Binding & Polymerase Activity
GO:0000981	0	Transcription Regulator & Modulator Activity
GO:0000993	2	DNA/RNA Binding & Polymerase Activity
GO:0000994	2	DNA/RNA Binding & Polymerase Activity
GO:0000995	0	Transcription Regulator & Modulator Activity
GO:0001006	2	DNA/RNA Binding & Polymerase Activity
GO:0001054	4	Kinases & Transferases
GO:0001055	4	Kinases & Transferases
GO:0001056	4	Kinases & Transferases
GO:0001139	2	DNA/RNA Binding & Polymerase Activity
GO:0001164	2	DNA/RNA Binding & Polymerase Activity
GO:0001181	0	Transcription Regulator & Modulator Activity
GO:0001216	0	Transcription Regulator & Modulator Activity
GO:0001217	0	Transcription Regulator & Modulator Activity
GO:0001228	0	Transcription Regulator & Modulator Activity
GO:0001671	0	Transcription Regulator & Modulator Activity
GO:0001734	4	Kinases & Transferases
GO:0001786	2	DNA/RNA Binding & Polymerase Activity
