GO_ID	ClusterID	ClusterName
GO:0000009	4	Kinases & Transferases
GO:0000014	1	Hydrolases & Phosphatases
GO:0000026	4	Kinases & Transferases
GO:0000030	4	Kinases & Transferases
GO:0000035	2	DNA/RNA Binding & Polymerase Activity
GO:0000036	2	DNA/RNA Binding & Polymerase Activity
GO:0000049	2	DNA/RNA Binding & Polymerase Activity
GO:0000062	2	DNA/RNA Binding & Polymerase Activity
GO:0000095	6	Transporter & Channel Activity
GO:0000104	0	Redox Activity
GO:0000146	0	Redox Activity
GO:0000149	2	DNA/RNA Binding & Polymerase Activity
GO:0000150	3	RNA Processing
GO:0000166	2	DNA/RNA Binding & Polymerase Activity
GO:0000171	1	Hydrolases & Phosphatases
GO:0000175	1	Hydrolases & Phosphatases
GO:0000179	3	RNA Processing
GO:0000182	2	DNA/RNA Binding & Polymerase Activity
GO:0000213	1	Hydrolases & Phosphatases
GO:0000225	1	Hydrolases & Phosphatases
GO:0000234	4	Kinases & Transferases
GO:0000285	4	Kinases & Transferases
GO:0000287	2	DNA/RNA Binding & Polymerase Activity
GO:0000309	4	Kinases & Transferases
GO:0000339	2	DNA/RNA Binding & Polymerase Activity
GO:0000340	2	DNA/RNA Binding & Polymerase Activity
GO:0000386	3	RNA Processing
GO:0000400	2	DNA/RNA Binding & Polymerase Activity
GO:0000406	2	DNA/RNA Binding & Polymerase Activity
GO:0000701	1	Hydrolases & Phosphatases
GO:0000703	1	Hydrolases & Phosphatases
GO:0000774	0	Redox Activity
GO:0000822	2	DNA/RNA Binding & Polymerase Activity
GO:0000823	4	Kinases & Transferases
GO:0000827	4	Kinases & Transferases
GO:0000828	4	Kinases & Transferases
GO:0000829	4	Kinases & Transferases
GO:0000832	4	Kinases & Transferases
GO:0000900	2	DNA/RNA Binding & Polymerase Activity
GO:0000976	2	DNA/RNA Binding & Polymerase Activity
GO:0000977	2	DNA/RNA Binding & Polymerase Activity
GO:0000978	2	DNA/RNA Binding & Polymerase Activity
GO:0000979	2	DNA/RNA Binding & Polymerase Activity
GO:0000981	0	Redox Activity
GO:0000993	2	DNA/RNA Binding & Polymerase Activity
GO:0000994	2	DNA/RNA Binding & Polymerase Activity
GO:0000995	0	Redox Activity
GO:0001006	2	DNA/RNA Binding & Polymerase Activity
GO:0001054	3	RNA Processing
GO:0001055	3	RNA Processing
GO:0001056	3	RNA Processing
GO:0001139	2	DNA/RNA Binding & Polymerase Activity
GO:0001164	2	DNA/RNA Binding & Polymerase Activity
GO:0001181	0	Redox Activity
GO:0001216	0	Redox Activity
GO:0001217	0	Redox Activity
GO:0001228	0	Redox Activity
GO:0001671	0	Redox Activity
GO:0001734	3	RNA Processing
GO:0001786	2	DNA/RNA Binding & Polymerase Activity
GO:0001791	2	DNA/RNA Binding & Polymerase Activity
GO:0002020	2	DNA/RNA Binding & Polymerase Activity
GO:0002094	4	Kinases & Transferases
GO:0002161	1	Hydrolases & Phosphatases
GO:0003676	2	DNA/RNA Binding & Polymerase Activity
GO:0003677	2	DNA/RNA Binding & Polymerase Activity
GO:0003678	3	RNA Processing
GO:0003680	2	DNA/RNA Binding & Polymerase Activity
GO:0003681	2	DNA/RNA Binding & Polymerase Activity
GO:0003682	2	DNA/RNA Binding & Polymerase Activity
GO:0003684	2	DNA/RNA Binding & Polymerase Activity
GO:0003688	2	DNA/RNA Binding & Polymerase Activity
GO:0003689	3	RNA Processing
GO:0003690	2	DNA/RNA Binding & Polymerase Activity
GO:0003691	2	DNA/RNA Binding & Polymerase Activity
GO:0003697	2	DNA/RNA Binding & Polymerase Activity
GO:0003700	0	Redox Activity
GO:0003711	0	Redox Activity
GO:0003712	0	Redox Activity
