	curated_only	0.01	0.05	0.1	0.2	0.3
P. adleri	16.375586854460096	19.699530516431928	26.08450704225352	32.35680751173709	44.28169014084507	56.413145539906104
P. berghei	24.223477208551834	27.77329568374344	34.69140782573618	40.278338039532066	50.28237192416297	60.97216619604679
P. blacklocki	16.235294117647058	19.823529411764707	26.294117647058822	32.568627450980394	43.80392156862745	56.68627450980392
P. chabaudi	20.696287747643776	24.08155414502789	30.063473744950954	36.045393344874014	46.37430275052895	56.241584920176955
P. coatneyi	13.16171138506164	16.660623640319074	23.07831762146483	28.84336475707034	39.213197969543145	52.39303843364757
P. cynomolgi	7.234673698088333	10.08569545154911	16.150296638101516	20.89650626235992	29.268292682926827	39.02439024390244
P. falciparum	42.27129337539432	43.99703098905177	48.32065318240861	52.47726850992763	60.159584338467255	68.3243644460939
P. fragile	12.905500705218618	16.29055007052186	22.51410437235543	28.08533145275035	39.61565585331453	53.38504936530324
P. gaboni	16.49785742111414	20.023373587845732	26.762758083365796	33.22945072068563	44.48772886638099	56.38878067783405
P. gallinaceum	18.44494892167991	21.94475974271661	28.414680287552024	34.298146046159665	45.2894438138479	56.33749527052592
P. inui	12.328532235939644	15.603566529492454	21.36488340192044	26.851851851851855	38.460219478738	53.78943758573388
P. knowlesi	20.307807807807805	23.536036036036037	29.09159159159159	34.62837837837838	44.63213213213213	55.48048048048047
P. malariae	16.79569168630091	19.707169303264894	24.941097273645237	30.14136654325143	38.75799394143386	49.293167283742854
P. ovale curtisi	12.30700044970769	14.870334282716236	19.847099385399492	23.98441013341328	32.304002398441014	41.71788337580573
P. ovale wallikeri	11.44829800899165	13.953114964675658	19.155427103403984	23.90815671162492	32.40205523442518	43.641618497109825
P. reichenowi	22.003860326373047	24.899105106158974	30.092998771714335	35.321986313388315	44.88506755571153	54.92191612563607
P. vinckei	14.009569377990431	17.703349282296653	24.325358851674643	30.373205741626798	42.00956937799043	52.937799043062206
P. vivax	23.67088607594937	26.220614828209765	31.410488245931283	36.256781193490056	45.49728752260398	56.54611211573237
P. yoelii	8.75549879381297	10.898254576415496	15.85071661700014	20.207180360437064	27.67134951042997	36.3417056903647
