	curated_only	0.01	0.05	0.1	0.2	0.3
P. adleri	51.6056338028169	54.647887323943664	63.962441314553985	61.23943661971831	49.52112676056338	37.389671361502344
P. berghei	50.161355385235986	50.8874546187979	56.91811214199274	54.5582896329165	44.79628882613957	34.106494554255754
P. blacklocki	52.52941176470588	55.05882352941176	64.27450980392156	61.745098039215684	50.725490196078425	37.84313725490196
P. chabaudi	50.89440276976342	52.298518945951145	58.876707059049814	56.49163300634738	46.35506828236199	36.487786112713984
P. coatneyi	49.111675126903556	51.432197244379985	62.79912980420595	64.7389412617839	54.80420594633792	41.62436548223351
P. cynomolgi	32.94330916282136	38.661832564271585	51.862228081740284	55.07580751483191	47.87409360580092	38.11799604482531
P. falciparum	42.03006123585081	42.38263128595287	46.223789200222676	44.145481536463166	36.68584152904064	28.52106142141399
P. fragile	47.9901269393512	50.599435825105786	64.05148095909732	65.9379407616361	55.05994358251057	41.29055007052187
P. gaboni	49.88313206077133	52.902220490845345	62.738605375925204	60.264900662251655	49.20140241527074	37.300350603817684
P. gallinaceum	53.045781309118425	54.388951948543315	60.74536511539917	58.47521755580779	47.69201664774877	36.643965191070755
P. inui	44.23868312757202	46.69067215363511	64.64334705075446	67.81550068587106	56.5843621399177	41.255144032921805
P. knowlesi	49.756006006006004	50.37537537537538	56.73798798798799	55.668168168168165	45.94594594594595	35.0975975975976
P. malariae	57.79198922921576	58.48199259508583	65.66812521036688	64.11982497475599	55.80612588354089	45.27095254123191
P. ovale curtisi	37.5206116024584	39.799130565132664	49.782641283165944	50.9818617898366	43.30685054714436	33.90795982611303
P. ovale wallikeri	52.231856133590234	53.1631342324984	63.37508028259473	64.27424534360951	56.18175979447656	44.94219653179191
P. reichenowi	53.79891208984032	54.816634497280226	60.67731180908932	57.74697315318477	48.394455167573255	38.35760659764871
P. vinckei	49.5311004784689	51.86602870813397	61.358851674641144	60.21052631578947	48.91866028708134	37.99043062200957
P. vivax	43.58047016274864	45.09945750452079	53.32730560578662	54.954792043399635	46.311030741410484	35.280289330922244
P. yoelii	38.68312757201646	41.93273733503619	51.922804030083725	51.298424861643255	44.06130268199234	35.405136937703986
