	curated_only	0.01	0.05	0.1	0.2	0.3
P. adleri	32.018779342723	25.652582159624416	9.953051643192488	6.403755868544601	6.197183098591549	6.197183098591549
P. berghei	25.61516740621218	21.339249697458655	8.390480032271078	5.163372327551432	4.921339249697459	4.921339249697459
P. blacklocki	31.23529411764706	25.11764705882353	9.431372549019608	5.686274509803922	5.470588235294118	5.470588235294118
P. chabaudi	28.409309482592803	23.619926909020965	11.05981919599923	7.462973648778612	7.270628967109059	7.270628967109059
P. coatneyi	37.72661348803481	31.90717911530094	14.122552574329225	6.417693981145758	5.982596084118927	5.982596084118927
P. cynomolgi	59.82201713909031	51.2524719841793	31.987475280158208	24.02768622280817	22.857613711272247	22.857613711272247
P. falciparum	15.69864538875487	13.62033772499536	5.455557617368714	3.3772499536092035	3.1545741324921135	3.1545741324921135
P. fragile	39.104372355430186	33.110014104372354	13.434414668547252	5.97672778561354	5.324400564174894	5.324400564174894
P. gaboni	33.61901051811453	27.07440592130892	10.498636540708999	6.505648617062719	6.310868718348267	6.310868718348267
P. gallinaceum	28.509269769201666	23.666288308740068	10.839954597048807	7.226636398032539	7.018539538403329	7.018539538403329
P. inui	43.43278463648834	37.705761316872426	13.991769547325102	5.332647462277092	4.955418381344307	4.955418381344307
P. knowlesi	29.936186186186188	26.08858858858859	14.17042042042042	9.703453453453454	9.421921921921921	9.421921921921921
P. malariae	25.412319084483336	21.810838101649278	9.390777515987883	5.738808481992595	5.435880175025244	5.435880175025244
P. ovale curtisi	50.172387947833904	45.3305351521511	30.370259331434568	25.033728076750112	24.389147054414632	24.37415679808125
P. ovale wallikeri	36.31984585741811	32.88375080282594	17.469492614001283	11.817597944765575	11.416184971098266	11.416184971098266
P. reichenowi	24.197227583786628	20.2842603965608	9.229689419196351	6.931040533426917	6.720477276715213	6.720477276715213
P. vinckei	36.45933014354067	30.43062200956938	14.315789473684209	9.416267942583731	9.07177033492823	9.07177033492823
P. vivax	32.748643761301985	28.67992766726944	15.262206148282099	8.788426763110307	8.191681735985533	8.17359855334539
P. yoelii	52.56137363417057	47.16900808854832	32.22647935291613	28.494394777919684	28.267347807577693	28.25315737193132
